text,rating,,,
good restaurant good relax place to meet friends,5,,,
great place,5,,,
service superb,5,,,
best place,5,,,
meal attractive rates come back,3,,,
one best restaurant sri lanka,4,,,
friends enjoyed foods services,3.5,,,
nice rice snd curries lunch good selection excellent local curries,2.5,,,
accommodating staff,3,,,
 reasonably priced inexpensive european standardsmore,4,,,
excellent curry restaurant reasonably priced,4,,,
 delicious foods,5,,,
waiter really nice spoke good english sunday taxis tuk tuk owner dropped us hotel kindnessmore,4.5,,,
good staff friendly really looked us treated feast,5,,,
many delicious dishes,5,,,
dinner hotel rice curry delicious kept bringing one best rice curry sri lanka portion rather two people one,3.5,,,
the price would worth,4,,,
amazing meal set menu choice chicken fish pork curry also comes delicious vegetarian curries different pots also mango chutney start  meal,4,,,
waiter was incredibly friendly chatted meal,5,,,
great value place,5,,,
quick inexpensive lunch,3,,,
food quality great,5,,,
glad found special place highly recommended,4.5,,,
much expected service,4,,,
staff went beyond prepare vegan feast night stay even though one restaurant recommend place enoughmore,2.5,,,
found small place traditional rice curry dinner frequent rice curry eater,2,,,
superb cooking lack guests really deserve thumbs maintaining superb cooking,3.5,,,
excellent dinnermanaged,5,,,
additional bonus service attentative friendly would recommend,3.5,,,
 venue especially sri lankan cuisine,3.5,,,
staff services gave nice surprise for special events definitely recommended,4,,,
sure place went back evening nice,4.5,,,
 best ever eaten remarkable spinach tempure and mango chutney,4,,,
nice service,3.5,,,
set menu chicken curry incredible every dish delicious fresh fantastic way try many sri lankan flavours,4,,,
 waiter friendly kind owner also friendly helpful,4,,,
favourite place dinner far blown away,5,,,
cheap much food and great value,3.5,,,
amazing experience,4.5,,,
lovely traditional sri lankan homestead offering home cooked set menus,2.5,,,
first floor restaurant make sure mosquito repellent handy opted,0.5,,,
one vegetarian set menu one fish inundated mango chutney curries riceincluding two varieties aubergine water spinach dhal cabbage cucumber everything extremely tasty,4.5,,,
ridiculously good value especially given setting quality food,5,,,
quality food,5,,,
came back amazing restaurant n't menu give curry rice fruits vegetables food tasted amazing 's,5,,,
beautiful restaurant,3.5,,,
service really great friendly people,4,,,
came back amazing food,5,,,
aubergine fantastic great service highly recommend,4,,,
lovely staff,3.5,,,
great food cold beer nice simple restaurant good range options local curry rice combinations great grilled fish options,3,,,
breakfasts great nice omelets great fruit juices lassies open early want hit tourist trail early morning,3.5,,,
place offered us nice sri lankan meal nice,3.5,,,
juices prices quite high compared places use tourist prices,2,,,
service good worth visit little extra tospa spare,2,,,
food good worth visit little extra tospa spare,3,,,
dinner breakfast restaurant hotel dinner menu quite limited dish good breakfast buffet need choose menu order breakfast,2.5,,,
nice restaurant,3.5,,,
food priced reasonably,4,,,
good service well known specially made delicacies visitors,3.5,,,
order western dishes know make serve western dishes well also keen sri lankan traditionaltype food possible preorder able arrange food needs special preparation of overall said  well prepared and tasty,3,,,
happy dinners,3.5,,,
good varied food,3.5,,,
excellent service,5,,,
nice garden dine quiet leafy environments,4.5,,,
breakfast road trip ordered two continental breakfasts pancakes caterpillar omelette was lot onion weird looking bacon tomato sandwich,1,,,
cozy garden ever many mosquitos,1,,,
overpriced paid,1,,,
orderd cordon bleu wasnt deep fried crumbed breast fillet filling dry tasteless breakfast fine usual juice fruit egs style toastjam teacoffee good staff,0.5,,,
stayed four nights took morning evening meals in restaurant food good,3.5,,,
setting pleasant staff excellent went way accommodate,4,,,
awesome dinner food delicious,5,,,
staff friendly nice setting dont eat fish one dishes dried fish staff quick change something else forus really appreciated level care discovered,4.5,,,
went lunch good ok nothing special fried rice vegetables almost rice worst found fingernail fruit juice recommend place anyone,2,,,
great prawns good stop tourist european low spice cousine,4,,,
great garden relax atmosphere,5,,,
lovely little garden terrace couple tables would recommend making reservation get one high season,4.5,,,
food good thick tasty seafood soup excellent curry tasty large milano mixed rice rather good grilled pork oyster sauce,4,,,
